Account ID,Account Name,Region,Industry,Tier,CSM Owner,FDE Pod,ARR ($),Contract Start,Renewal Date,Last EBR Date,Action Due Date,Renewal Status,Payment Status,Committed Conversations,Consumed Conversations,Containment %,Bot CSAT,Live Use Cases,Contracted Use Cases,Channels Live,Primary Use Case,Champion Status,Exec Sponsor Engaged,Key Stakeholders,Health Reason,Internal Blockers,External Blockers,Next Action,Action Owner,Blocker Type,Health,Expansion Stage,Expansion Value
ACC-1000,Northwind Bank,LATAM,Retail,Tech-touch,Amara Okafor,Pod Bravo,34164,2024-03-07,2027-05-17,2026-03-25,2026-08-20,Churned,Late - 30 days,246457,88833,80%,89,2,6,2,HR Helpdesk,At Risk,Y,"Priya Nair, VP Ops; Amara Okafor, IT Director",Usage is significantly under committed volume.,,,Prepare QBR deck and confirm expansion scope.,Liam Chen,None,,None,0
ACC-1001,Aster Retail,APAC,Logistics,Enterprise,Fatima Sheikh,Pod Bravo,370232,2026-03-07,2027-07-15,2026-04-11,2026-07-24,At Risk,Late - 30 days,353505,162554,58%,88,0,3,2,Voice IVR Deflection,Departed,N,"Fatima Sheikh, VP Ops; Sofia Rossi, IT Director",Champion left the org; relationship needs to be re-established.,Customer IT issue flagged by CSM during last EBR.,Customer IT team slow to prioritize integration work.,Prepare QBR deck and confirm expansion scope.,Wei Zhang,Customer IT,,Qualified,23765
ACC-1002,Voyage Airlines,EMEA,Telecom,Growth,Amara Okafor,Pod Charlie,101991,2024-07-31,2027-02-20,2026-02-15,2026-09-03,Committed,Current,195942,155070,56%,82,1,6,1,WhatsApp Support Bot,Active,N,"Amara Okafor, VP Ops; Liam Chen, IT Director","Tracking to plan, no material concerns this quarter.",Integration issue flagged by CSM during last EBR.,Customer IT team slow to prioritize integration work.,Prepare QBR deck and confirm expansion scope.,Daniel Ortiz,Integration,Green,None,0
ACC-1003,Meridian Telecom,LATAM,Healthcare,Enterprise,Daniel Ortiz,Pod Charlie,307636,2025-05-14,2027-06-17,2026-01-20,2026-07-17,In Negotiation,Current,75812,41073,67%,88,0,2,4,Order Tracking,Active,Y,"Liam Chen, VP Ops; Priya Nair, IT Director","Tracking to plan, no material concerns this quarter.",Competitive issue flagged by CSM during last EBR.,,Schedule overdue EBR and confirm renewal path.,Liam Chen,Competitive,,Proposed,118314
ACC-1004,Cascade Health,LATAM,Logistics,Growth,Priya Nair,Pod Bravo,96297,2025-07-11,2027-05-29,2026-03-28,2026-08-23,At Risk,Current,191326,152405,58%,59,2,3,3,Booking Assistant,Active,Y,"Sofia Rossi, VP Ops; Priya Nair, IT Director","Tracking to plan, no material concerns this quarter.",Integration issue flagged by CSM during last EBR.,Customer IT team slow to prioritize integration work.,Prepare QBR deck and confirm expansion scope.,Wei Zhang,Integration,,None,0
ACC-1005,Bluepeak Insurance,MEA,Logistics,Growth,Wei Zhang,Pod Charlie,117552,2025-01-14,2026-10-09,2026-02-06,2026-07-26,Likely,Current,239341,230878,75%,60,0,3,2,Booking Assistant,Active,Y,"Wei Zhang, VP Ops; Sofia Rossi, IT Director","Tracking to plan, no material concerns this quarter.",Competitive issue flagged by CSM during last EBR.,,Prepare QBR deck and confirm expansion scope.,Daniel Ortiz,Competitive,Red,Identified,50541
ACC-1006,Solstice Logistics,MEA,Logistics,Strategic,Priya Nair,Pod Delta,530168,2025-02-03,2026-11-09,2026-04-17,2026-08-06,Committed,Current,247306,232431,50%,66,2,7,2,Booking Assistant,At Risk,Y,"Liam Chen, VP Ops; Wei Zhang, IT Director","Tracking to plan, no material concerns this quarter.",Competitive issue flagged by CSM during last EBR.,,Prepare QBR deck and confirm expansion scope.,Sofia Rossi,Competitive,,None,0
ACC-1007,Aurora EdTech,APAC,Insurance,Growth,Wei Zhang,Pod Bravo,65799,2024-12-03,2027-06-14,2026-05-10,2026-08-04,Committed,Current,380548,143841,54%,69,6,8,1,Booking Assistant,Active,N,"Liam Chen, VP Ops; Liam Chen, IT Director",Usage is significantly under committed volume.,Scope issue flagged by CSM during last EBR.,,Prepare QBR deck and confirm expansion scope.,Fatima Sheikh,Scope,,Proposed,73058
ACC-1008,Kestrel Financial,MEA,Travel,Enterprise,Priya Nair,Pod Bravo,386711,2026-06-01,2026-10-06,2026-04-28,2026-08-09,At Risk,Current,63380,20458,87%,67,1,2,1,HR Helpdesk,Active,Y,"Amara Okafor, VP Ops; Fatima Sheikh, IT Director",Usage is significantly under committed volume.,,,Prepare QBR deck and confirm expansion scope.,Priya Nair,None,,Proposed,154321
ACC-1009,Harbor Retail Co,MEA,Logistics,Enterprise,Liam Chen,Pod Charlie,427057,2024-05-14,2026-10-03,2026-04-03,2026-08-08,Committed,Current,319635,140224,54%,69,2,3,3,Order Tracking,Active,N,"Wei Zhang, VP Ops; Fatima Sheikh, IT Director","Tracking to plan, no material concerns this quarter.",Budget issue flagged by CSM during last EBR.,,Prepare QBR deck and confirm expansion scope.,Daniel Ortiz,Budget,,Proposed,29700
ACC-1010,Zenith Mobility,LATAM,Insurance,Enterprise,Amara Okafor,Pod Charlie,164547,2025-12-05,2027-01-29,2026-03-24,2026-07-20,At Risk,Current,320112,304187,49%,73,3,3,2,HR Helpdesk,At Risk,N,"Priya Nair, VP Ops; Sofia Rossi, IT Director","Tracking to plan, no material concerns this quarter.",Customer IT issue flagged by CSM during last EBR.,Customer IT team slow to prioritize integration work.,Prepare QBR deck and confirm expansion scope.,Priya Nair,Customer IT,Green,Proposed,129044
ACC-1011,Pinecrest Health,LATAM,Retail,Tech-touch,Fatima Sheikh,Pod Bravo,37285,2024-06-06,2026-11-26,2026-03-06,2026-08-18,Committed,Current,391997,221679,92%,59,4,4,1,Claims Assist,Active,N,"Sofia Rossi, VP Ops; Daniel Ortiz, IT Director","Tracking to plan, no material concerns this quarter.",Product Gap issue flagged by CSM during last EBR.,,Prepare QBR deck and confirm expansion scope.,Sofia Rossi,Product Gap,,Proposed,168506
ACC-1012,Orbit Telecom,LATAM,EdTech,Enterprise,Amara Okafor,Pod Bravo,379083,2025-02-26,2027-01-09,2026-06-21,2026-07-24,Likely,Current,365988,313215,93%,94,0,2,3,Order Tracking,At Risk,Y,"Wei Zhang, VP Ops; Liam Chen, IT Director","Tracking to plan, no material concerns this quarter.",Integration issue flagged by CSM during last EBR.,Customer IT team slow to prioritize integration work.,Prepare QBR deck and confirm expansion scope.,Liam Chen,Integration,,Qualified,78679
